ProviderID,ProviderName,ComplianceStatus,RegulatoryRequirements,AuditDate
91,Etisalat,Compliant,Share road face sure material seat five attack.,2022-12-14
97,Etisalat,Compliant,Institution trip black beat wind billion memory.,2023-08-16
22,Etisalat,Compliant,Especially begin buy rate.,2023-07-05
77,MTN,Non-Compliant,Evening item north agent behavior federal guy environmental.,2022-10-22
17,Airtel,Compliant,Forward do economic east police.,2022-12-17
66,Airtel,Compliant,Resource surface fire left career.,2023-07-29
32,MTN,Non-Compliant,Fall that product.,2022-06-17
66,Airtel,Non-Compliant,Check them wall film.,2023-08-27
14,MTN,Non-Compliant,Though run much cup teacher.,2022-10-18
85,MTN,Compliant,Near never use.,2022-10-28
85,Etisalat,Compliant,Enough image very lot read half box message.,2022-08-11
58,Etisalat,Non-Compliant,Ready police prove long brother.,2023-02-24
34,Glo,Compliant,East worker forward scientist include special.,2021-12-10
5,Etisalat,Non-Compliant,Result address able within fall low hot.,2022-05-31
69,Glo,Compliant,Country push perhaps more alone mean produce.,2023-01-04
86,Glo,Non-Compliant,Her model kid scientist least reveal once.,2022-05-19
85,MTN,Compliant,When middle so some day ahead boy.,2023-07-12
55,MTN,Compliant,Technology after stay current produce responsibility.,2023-02-19
87,Glo,Compliant,Word right east score produce party list.,2022-02-08
59,Glo,Non-Compliant,Four memory strong management determine discuss.,2021-12-15
84,Airtel,Compliant,Law medical blue series better.,2023-08-08
22,MTN,Compliant,Wrong early put amount despite.,2023-05-10
29,MTN,Non-Compliant,Anything dream take executive newspaper option.,2022-09-14
29,Glo,Compliant,Down network because question tree wait.,2022-10-19
63,MTN,Non-Compliant,Success sister performance weight great together key.,2022-03-09
55,Etisalat,Non-Compliant,Bar yourself street various always nice.,2022-07-22
50,Glo,Non-Compliant,Opportunity act realize century board billion.,2021-11-13
40,Etisalat,Non-Compliant,Where buy fill win.,2022-06-07
79,Etisalat,Non-Compliant,Forward they probably himself career or.,2022-08-15
30,Etisalat,Compliant,We debate measure forget business.,2022-03-12
54,Glo,Compliant,Final cover pull every.,2022-07-11
69,Airtel,Compliant,Late nice until either every yourself.,2022-02-10
36,Airtel,Non-Compliant,Dream court minute risk network include bit.,2023-05-17
6,MTN,Non-Compliant,Prove play notice spend I think standard.,2023-07-04
39,Airtel,Compliant,Wide finally daughter election modern push which.,2021-10-12
25,MTN,Compliant,Toward mind good bag past right.,2023-03-01
24,MTN,Compliant,As window case.,2022-07-24
32,MTN,Compliant,Soldier including fill college among though.,2022-01-19
29,Etisalat,Compliant,Simply anything number worker maybe.,2022-06-29
74,Glo,Non-Compliant,Crime piece Congress team by wish another town.,2021-12-08
86,Airtel,Non-Compliant,Woman year because animal nice again attack.,2023-03-19
28,Airtel,Non-Compliant,Where something feel again.,2023-04-10
55,Glo,Compliant,Low high hour option look.,2023-06-27
43,Etisalat,Compliant,Chance choice sea effort should without its.,2022-06-24
100,Etisalat,Non-Compliant,Popular southern here value.,2023-04-06
30,MTN,Non-Compliant,Team during able feel thought left.,2023-01-23
14,Etisalat,Compliant,Safe too nothing just.,2022-12-02
80,Airtel,Compliant,Air chance amount wish such effect democratic.,2023-06-30
61,Etisalat,Compliant,Human data board my kid.,2022-10-19
33,Etisalat,Compliant,We happy among occur end spend their.,2023-01-25
67,Etisalat,Compliant,Item center after we for positive.,2022-08-18
77,Glo,Non-Compliant,Truth born break consumer care cost trouble make.,2021-11-30
69,Etisalat,Compliant,Always factor mention wonder.,2023-02-11
18,MTN,Compliant,Hope company defense wind hand.,2021-11-01
87,MTN,Compliant,Oil save significant health up.,2022-03-28
80,Glo,Non-Compliant,Why strategy price analysis.,2021-10-08
29,Glo,Non-Compliant,Will time be before organization goal.,2023-01-02
33,Glo,Non-Compliant,Himself right industry story.,2023-03-20
75,Etisalat,Non-Compliant,About six huge natural.,2022-09-30
26,MTN,Non-Compliant,Guy themselves effort learn partner yet.,2022-09-05
22,Glo,Compliant,Wall subject fear blood successful admit.,2023-08-11
79,Etisalat,Compliant,Type partner meeting term.,2022-08-17
98,Glo,Non-Compliant,Right magazine break help old ever either.,2021-10-29
2,Glo,Non-Compliant,Political support smile spend.,2022-09-30
12,Etisalat,Non-Compliant,So herself business among.,2022-06-12
43,Etisalat,Compliant,College fast begin with.,2022-03-10
38,Glo,Compliant,Science move include school play.,2021-12-12
81,Airtel,Compliant,Attack then order tell ahead.,2022-02-14
84,Airtel,Non-Compliant,Court age house beat charge service.,2022-06-21
80,Glo,Non-Compliant,Company south ago peace this yourself.,2023-07-18
54,Airtel,Non-Compliant,Official join west plan song not interesting suddenly.,2023-01-26
69,Airtel,Compliant,Certain daughter win eat large and.,2022-10-27
6,Etisalat,Compliant,Carry bill town debate show difficult garden moment.,2023-08-26
34,Etisalat,Compliant,Do responsibility image.,2021-09-29
3,Etisalat,Compliant,Role report focus couple bring.,2022-03-25
44,Etisalat,Non-Compliant,Carry use attention ability part these.,2021-09-30
4,Glo,Compliant,Response sell production yet inside fire success.,2022-03-14
82,Glo,Non-Compliant,Outside decade statement bring young position image.,2023-09-22
87,MTN,Non-Compliant,Sea keep father well.,2022-10-25
66,Etisalat,Non-Compliant,Indicate kitchen source throughout use.,2022-01-06
100,Airtel,Non-Compliant,I half war treat take upon direction.,2021-12-09
5,Airtel,Non-Compliant,Throughout want really certainly mention history different role.,2023-03-04
15,MTN,Non-Compliant,Really affect position interest box.,2023-08-25
66,Etisalat,Non-Compliant,Standard how defense ever wear physical.,2022-09-08
54,Airtel,Compliant,Decide my employee dream store professor.,2022-03-23
74,Glo,Non-Compliant,Page trial floor record.,2022-01-28
4,MTN,Compliant,Lay fish include boy officer seek movie.,2023-01-16
62,Airtel,Non-Compliant,Draw court attorney community first.,2022-11-23
51,Airtel,Compliant,Spring family experience research.,2021-11-27
65,Glo,Non-Compliant,Way pay strong perform now.,2023-01-22
24,MTN,Non-Compliant,Cell window people evening employee program.,2023-01-31
72,Etisalat,Non-Compliant,Control drug future central light our.,2021-10-14
21,Glo,Non-Compliant,There always action issue agency pay.,2022-10-02
95,Etisalat,Compliant,Little reach part.,2021-10-07
69,Etisalat,Compliant,That cost almost often.,2022-07-17
27,MTN,Non-Compliant,Citizen involve inside everybody project thought magazine.,2022-03-26
9,MTN,Compliant,Now clearly several such coach eight staff.,2023-07-21
76,Airtel,Compliant,Station budget central let house.,2023-07-11
12,Glo,Non-Compliant,Sea teach head one.,2023-05-22
20,Glo,Compliant,Knowledge lay show also group represent century.,2022-02-02
82,Etisalat,Compliant,Tree generation think true side major again.,2022-08-26
2,Airtel,Non-Compliant,About entire environment general shoulder get.,2021-10-18
64,Glo,Non-Compliant,Market wish to wall federal forward window.,2023-06-29
59,Glo,Non-Compliant,New support trade smile.,2022-05-31
33,Glo,Compliant,Test everything reveal speech part yard cold word.,2022-09-03
59,MTN,Non-Compliant,Machine both hit how more risk bag.,2022-09-08
37,MTN,Non-Compliant,Effect keep hand economy ability court book.,2022-03-11
71,Glo,Compliant,Throw why throughout safe it government.,2023-07-29
28,Etisalat,Non-Compliant,Possible certainly growth hand thousand ok design.,2021-10-04
48,Airtel,Compliant,Doctor top rate use bar somebody drop.,2022-01-09
86,Airtel,Compliant,Better pressure first window face ready.,2021-10-14
16,Airtel,Compliant,Painting talk table set.,2021-10-10
32,MTN,Non-Compliant,Feel structure major strong clearly however should everybody.,2022-09-21
54,Etisalat,Non-Compliant,Through career Republican southern television mention know.,2023-05-10
37,Etisalat,Non-Compliant,Pick seven letter control.,2022-04-01
81,Airtel,Non-Compliant,Pull responsibility child thought.,2022-04-21
80,Glo,Compliant,South standard look same sign.,2023-04-24
90,Glo,Compliant,Character modern team policy full.,2023-07-24
58,Glo,Compliant,Well subject responsibility on.,2023-04-24
36,MTN,Compliant,Resource Republican response bring even approach.,2023-03-25
80,Etisalat,Non-Compliant,Degree place range nearly else free adult.,2022-04-27
20,Glo,Non-Compliant,Party choice hair when list risk try truth.,2023-06-08
29,MTN,Non-Compliant,Drop every mission reach girl.,2022-11-10
65,Airtel,Non-Compliant,Face management some month quite until home.,2022-03-09
66,MTN,Non-Compliant,Cell program professor decision follow.,2021-11-01
97,Glo,Non-Compliant,Together light tonight season cell leave.,2023-08-15
77,Glo,Compliant,Power often wait.,2023-09-15
80,Glo,Non-Compliant,Smile without budget cultural whose your.,2022-05-25
87,Glo,Compliant,Professional less amount religious point follow entire.,2023-05-19
99,Glo,Compliant,Wide kitchen good quickly certain draw.,2023-06-17
88,Etisalat,Non-Compliant,Instead back Mr while fine risk perform.,2023-02-06
44,Airtel,Non-Compliant,Without be pull seem family draw.,2023-04-14
6,MTN,Non-Compliant,Significant their push skill event gun.,2021-12-18
44,Airtel,Compliant,Surface direction health.,2022-03-03
9,Etisalat,Non-Compliant,Financial movie item go wall near detail.,2023-06-18
32,Etisalat,Compliant,Better weight participant common mission.,2022-02-18
29,Glo,Non-Compliant,Including present computer nor sister state walk.,2023-09-06
42,Airtel,Compliant,Institution animal writer management political throw into.,2021-10-09
49,Airtel,Compliant,Song character resource sit.,2023-08-17
42,Glo,Non-Compliant,Hold sense gun office around lay avoid animal.,2022-11-17
44,Glo,Non-Compliant,Shoulder imagine woman on.,2023-01-07
99,Etisalat,Non-Compliant,Set my social fill already.,2022-12-01
17,Glo,Non-Compliant,Single former activity back mission western series.,2022-02-07
88,MTN,Compliant,Child ever maintain production analysis help money.,2022-12-28
100,Glo,Compliant,From hot concern.,2023-02-24
29,Airtel,Compliant,Our morning discover large own professional claim.,2022-08-22
22,Airtel,Compliant,Including page best including push very.,2022-08-14
20,Etisalat,Non-Compliant,Present box bit whom like young fact.,2022-02-09
12,Airtel,Non-Compliant,Everybody service amount window reveal.,2022-04-11
60,MTN,Compliant,Billion ever federal nice.,2023-02-16
43,Etisalat,Compliant,Rate also wind particular sea sound.,2023-05-22
35,MTN,Compliant,Author response toward rock interesting low.,2021-10-12
74,Etisalat,Compliant,Control window near peace brother sound.,2023-03-25
49,Airtel,Non-Compliant,On add establish their head these.,2021-09-30
92,Airtel,Compliant,Fire plan hand act bad entire.,2021-10-22
62,MTN,Compliant,Which artist east people ground determine road.,2023-01-14
62,Etisalat,Non-Compliant,Certain assume car result.,2021-10-18
44,Glo,Compliant,Bring central air pay where federal front first.,2022-08-07
65,Airtel,Compliant,Nor dog their throw whether dream.,2023-02-06
85,Glo,Non-Compliant,Theory response various.,2022-06-29
5,Etisalat,Compliant,Describe fill reach expert deal song street history.,2022-02-23
79,Airtel,Compliant,Sister thought low common art sea.,2022-05-30
3,MTN,Non-Compliant,Office behind never fine create.,2022-05-04
38,MTN,Compliant,Bring under skill skin.,2022-10-23
70,Airtel,Compliant,Son understand very short.,2022-08-20
24,MTN,Compliant,List garden political common heart.,2022-12-08
22,Etisalat,Non-Compliant,Fine name analysis floor else actually.,2023-07-04
94,Etisalat,Compliant,Summer civil threat heart would around.,2023-03-24
91,Etisalat,Compliant,Local middle red pull.,2023-05-04
21,Airtel,Non-Compliant,Effect dream deal local something mouth.,2023-01-23
28,MTN,Non-Compliant,West population share mother leader something respond.,2023-07-20
42,Etisalat,Non-Compliant,Authority weight three remain box.,2023-02-03
45,MTN,Compliant,Watch mission eye.,2022-05-15
72,Airtel,Non-Compliant,Partner any season who section.,2022-11-13
63,MTN,Compliant,Evening who religious sit prepare.,2023-03-12
87,Airtel,Compliant,Top miss stand season responsibility your smile drug.,2022-06-06
50,Etisalat,Compliant,Strong notice magazine anything thought guy.,2023-03-04
29,MTN,Compliant,Can human them eat large.,2022-04-11
38,Glo,Compliant,Personal blood quickly whatever east.,2022-05-23
26,MTN,Non-Compliant,Night small process if.,2022-09-17
75,Airtel,Non-Compliant,Want describe happen important quality task.,2021-11-12
80,MTN,Compliant,Best across bill argue.,2022-04-20
66,Etisalat,Compliant,Wide speech today child authority.,2022-08-15
60,MTN,Compliant,Act spend major standard police brother more bed.,2023-08-31
91,Etisalat,Compliant,Any political nothing PM close live can.,2022-12-20
82,Etisalat,Compliant,Beyond hear capital station participant center.,2022-02-27
76,Glo,Compliant,Husband find production surface threat bad interview a.,2022-02-18
87,MTN,Non-Compliant,The alone require pattern speech in.,2023-08-02
24,Glo,Compliant,Role trip data.,2023-05-12
8,Airtel,Compliant,Hundred why food.,2021-10-24
36,Etisalat,Compliant,Sea defense want up pay simple.,2021-10-29
23,Airtel,Compliant,Member nothing quite.,2023-06-01
7,Etisalat,Non-Compliant,Other drive against there a.,2023-06-09
45,MTN,Non-Compliant,She suggest then account.,2022-08-22
85,Etisalat,Compliant,Cost worry determine poor hot degree base.,2023-01-26
13,MTN,Non-Compliant,Wish policy PM young.,2023-07-19
34,MTN,Compliant,Threat treatment agreement herself serious wind sing.,2023-03-06
69,Airtel,Compliant,Budget knowledge lose.,2023-02-08
85,Airtel,Compliant,Choose pick official such.,2022-10-30
41,Etisalat,Compliant,Arm way else better difficult hit author table.,2022-12-08
13,Etisalat,Compliant,Mother safe cause about move provide.,2023-05-13
41,Etisalat,Non-Compliant,Respond report cause then.,2022-04-22
43,Etisalat,Compliant,Again third memory address type process.,2021-09-29
29,Airtel,Non-Compliant,White college bank film song team network.,2021-11-12
39,Etisalat,Non-Compliant,Fill program my happy brother number.,2022-07-05
42,Airtel,Compliant,Base garden table into that can fact.,2023-06-13
8,Etisalat,Non-Compliant,Field particularly especially know college which.,2023-03-27
70,MTN,Compliant,Point collection visit oil large.,2023-04-01
29,Airtel,Non-Compliant,Person executive gun enough.,2023-02-21
94,Airtel,Compliant,Risk specific skill.,2023-06-10
55,Glo,Compliant,West successful would difficult less.,2023-08-02
74,Etisalat,Compliant,Seat speak huge clear green green.,2023-04-11
59,Etisalat,Compliant,Paper respond experience beat herself.,2023-08-01
47,Etisalat,Non-Compliant,Road world great.,2022-05-12
40,Etisalat,Non-Compliant,High history early herself per investment.,2023-07-20
94,Glo,Compliant,Next stock tend listen discover bar focus relationship.,2023-05-05
77,Etisalat,Compliant,He day different manage fill.,2022-07-29
59,Airtel,Non-Compliant,Act research season all market.,2023-07-25
92,Airtel,Compliant,Physical reveal air.,2023-04-01
64,MTN,Compliant,West voice life.,2023-05-08
55,Airtel,Compliant,Choose window surface bag.,2022-05-25
11,Airtel,Compliant,Expect possible under mind test adult.,2022-12-13
44,MTN,Non-Compliant,From able similar grow treatment voice maintain.,2021-12-17
12,Airtel,Compliant,Describe consumer society picture effort compare.,2023-02-27
5,MTN,Compliant,Child finally purpose point national attention girl.,2023-07-26
74,Airtel,Compliant,Share theory night decision day serve whatever step.,2022-10-02
47,MTN,Non-Compliant,Hotel writer really method land section.,2022-05-20
73,MTN,Compliant,Remember personal half five to.,2022-02-26
29,MTN,Non-Compliant,Science national level.,2023-06-07
76,Glo,Compliant,Campaign pressure human rather.,2022-03-04
64,Airtel,Non-Compliant,Require moment see all.,2023-05-22
50,MTN,Compliant,Important size chair long.,2022-10-03
82,Etisalat,Compliant,Movie participant onto have far.,2021-10-17
91,Etisalat,Non-Compliant,Statement improve point already foreign why focus stock.,2023-02-11
22,MTN,Compliant,Authority need personal they.,2023-08-13
81,Glo,Non-Compliant,American imagine worry church much.,2023-08-28
58,MTN,Compliant,Agree lawyer natural ok protect.,2023-01-06
14,MTN,Non-Compliant,Effort great finally in grow around at.,2021-12-01
25,Airtel,Compliant,Wear keep country but security owner.,2022-08-21
20,MTN,Compliant,Gas opportunity article hundred.,2022-06-17
60,Airtel,Non-Compliant,Believe sense politics bag.,2022-07-12
49,MTN,Non-Compliant,Certainly once direction public service.,2023-07-10
16,Etisalat,Compliant,Make education every star from energy actually.,2022-05-25
23,Airtel,Compliant,Officer assume write run eye sure hope.,2023-06-23
33,Airtel,Non-Compliant,Authority factor program feel gun successful.,2023-08-31
19,Airtel,Compliant,Fact some religious decide nor.,2023-08-11
61,Airtel,Compliant,Sense former dark street goal office note.,2023-04-15
7,MTN,Non-Compliant,True key fire do citizen fight sister.,2022-04-10
24,Glo,Compliant,Who natural late art difficult should.,2023-03-10
58,Etisalat,Compliant,Between because walk several another employee western.,2022-02-26
5,Airtel,Non-Compliant,It pattern both note.,2022-12-16
29,Glo,Non-Compliant,Move choose quite nature.,2023-05-26
27,MTN,Non-Compliant,Have describe another hair much wide.,2022-07-03
65,Airtel,Compliant,Toward economy question.,2023-06-15
11,MTN,Compliant,Look owner same trial.,2021-11-20
29,Airtel,Non-Compliant,Focus interview throw key quality security.,2022-07-04
27,MTN,Compliant,Old your memory painting interview remember.,2021-12-14
27,Etisalat,Compliant,Firm answer national.,2022-06-10
44,Airtel,Non-Compliant,Still reveal matter indeed physical nature.,2022-07-08
84,Glo,Compliant,Shoulder wrong crime consumer every always hot true.,2022-10-28
19,Airtel,Compliant,Glass yet ability sport training.,2022-01-31
2,MTN,Compliant,Firm sing make machine weight quite.,2023-08-15
60,Glo,Compliant,Great single actually technology make especially prevent out.,2022-04-06
69,MTN,Compliant,Into mother evidence over sense offer section.,2021-09-26
92,Etisalat,Non-Compliant,Nice watch marriage service name medical stuff natural.,2022-10-14
29,Etisalat,Compliant,Image short evening understand.,2022-09-21
11,Etisalat,Non-Compliant,Soldier see adult tax receive value.,2023-04-25
73,Airtel,Compliant,Avoid despite collection impact while.,2021-11-19
24,MTN,Compliant,In administration fund public.,2022-07-13
98,Airtel,Compliant,Grow movement get medical end page claim.,2023-05-18
81,Etisalat,Non-Compliant,Present suffer deal economic improve bed.,2022-01-08
55,Etisalat,Compliant,Under up writer.,2023-03-24
93,Etisalat,Non-Compliant,Bank shake mouth project.,2023-03-10
11,Etisalat,Compliant,Relate item teacher type.,2022-12-21
79,Airtel,Non-Compliant,Put hair significant per writer share inside.,2023-05-14
39,MTN,Non-Compliant,Major research treat two.,2022-08-22
31,Airtel,Non-Compliant,Away break yard system seat view common.,2023-08-04
72,Airtel,Compliant,Others answer he investment night.,2021-11-23
27,Glo,Compliant,Treat notice example statement.,2022-07-02
29,MTN,Non-Compliant,Answer cell care friend middle cost discussion star.,2021-12-28
19,MTN,Compliant,Material company talk.,2022-06-21
17,MTN,Compliant,Provide their cultural receive affect the remain then.,2023-04-20
70,Airtel,Non-Compliant,Particularly development give base.,2023-01-29
60,Etisalat,Non-Compliant,Certain room eight short ball act today.,2023-04-29
77,Etisalat,Compliant,Member perform air thought go heart along.,2022-02-02
72,Glo,Compliant,Strong page hotel continue beyond couple.,2023-02-27
78,MTN,Non-Compliant,Class start organization.,2021-09-26
20,Glo,Non-Compliant,Behind that beyond health.,2022-01-30
80,Airtel,Non-Compliant,Hundred draw seven good create state.,2022-11-07
47,Airtel,Compliant,That start hair.,2023-06-20
4,Etisalat,Non-Compliant,Admit in others away.,2021-11-11
99,Glo,Non-Compliant,Real later last any hard until point.,2022-01-19
62,Etisalat,Non-Compliant,Side whom position southern federal.,2022-04-28
21,Airtel,Non-Compliant,Catch language factor near deep new.,2022-08-18
9,Airtel,Compliant,Base chair lead none.,2023-07-08
11,Etisalat,Non-Compliant,Site deep save couple.,2022-12-08
100,Airtel,Non-Compliant,Especially visit source effect able nothing.,2022-06-21
89,Etisalat,Non-Compliant,Environment education growth religious manage address join.,2022-05-06
47,Glo,Compliant,Commercial suddenly its nearly mention someone.,2023-03-02
51,MTN,Non-Compliant,I example light evening rule.,2021-10-23
59,Glo,Compliant,Glass enjoy Democrat lawyer alone today race.,2023-03-06
23,Glo,Compliant,According avoid until at attention.,2023-03-09
62,Glo,Compliant,Security per security cover really people.,2022-06-19
5,Airtel,Non-Compliant,Benefit benefit table including beautiful state.,2023-04-28
11,Glo,Non-Compliant,Produce much decide nor quite well eat decade.,2022-07-10
84,Etisalat,Compliant,Ability through cup million tree yourself.,2021-12-25
28,Glo,Compliant,Someone outside only do century collection.,2022-12-30
58,Etisalat,Compliant,Position believe rate song instead vote exist.,2022-07-19
87,Airtel,Compliant,By choice against light necessary recognize boy brother.,2023-02-14
82,Etisalat,Compliant,Plant officer structure effect think.,2023-03-14
99,MTN,Non-Compliant,Next affect care position view.,2023-06-23
100,Glo,Compliant,Discussion since area account stand.,2021-12-30
53,MTN,Non-Compliant,Most data old once table.,2023-06-29
56,MTN,Non-Compliant,Common movement young right pattern country.,2022-12-09
63,Airtel,Compliant,Seem few he set guy.,2021-10-24
90,MTN,Non-Compliant,Condition air own law.,2023-07-23
82,Glo,Non-Compliant,Type test gun join hope.,2021-11-11
69,Glo,Compliant,Door moment student other.,2022-01-22
22,Etisalat,Compliant,During assume time somebody agreement gun these.,2023-08-31
49,MTN,Compliant,Participant listen government let.,2021-12-24
67,Airtel,Non-Compliant,Sort financial page them.,2021-10-07
24,Glo,Non-Compliant,Activity study after view environment.,2022-04-20
48,Etisalat,Non-Compliant,Available let head or campaign.,2022-04-04
38,Etisalat,Non-Compliant,Sound else lay big recently recently.,2022-07-31
8,MTN,Non-Compliant,Reflect begin prevent whose give indicate store suggest.,2023-09-01
31,Etisalat,Non-Compliant,Service art good six dream shoulder into.,2021-12-26
86,Etisalat,Compliant,Treat provide in those.,2021-09-27
88,Glo,Compliant,Shoulder direction kid quickly throughout life.,2023-05-28
71,Airtel,Non-Compliant,Field test team sometimes whom.,2022-12-07
35,Glo,Compliant,Role since outside front bank heart national young.,2023-05-31
60,Glo,Compliant,Magazine country reach its.,2022-09-07
58,Airtel,Compliant,Hold road recognize improve pattern.,2023-09-04
54,Glo,Compliant,Allow type Republican.,2021-11-06
52,Etisalat,Compliant,Consumer general effort next partner I material.,2023-07-06
50,Airtel,Compliant,Might design alone wind consumer.,2023-08-23
88,Etisalat,Non-Compliant,Interest rise suggest new any network.,2023-09-22
21,Etisalat,Compliant,Model trial face blue natural prepare.,2022-05-25
64,Airtel,Compliant,Interest store theory quality son better.,2022-04-28
56,Airtel,Non-Compliant,Nor determine president fund many tell speak.,2022-04-18
76,MTN,Compliant,Cover practice suffer Mrs finally kid.,2021-12-27
10,MTN,Compliant,Your baby store test girl require able.,2023-06-07
54,Airtel,Non-Compliant,Particular check question south.,2022-12-02
29,Glo,Non-Compliant,To college medical wind.,2022-07-11
13,Glo,Non-Compliant,Able on over.,2022-06-22
34,MTN,Non-Compliant,Finally instead process land heavy Mr.,2022-10-15
35,Airtel,Compliant,Term final ball even.,2022-01-07
93,Etisalat,Compliant,Treat energy stand after.,2023-03-09
88,Glo,Non-Compliant,Ago fly true probably growth one spring number.,2023-05-15
89,Airtel,Non-Compliant,Official deep mind.,2022-08-16
20,Airtel,Non-Compliant,Receive admit soldier race.,2022-08-20
82,MTN,Compliant,Pattern particular accept dog.,2022-05-16
27,Etisalat,Non-Compliant,Game individual according state.,2022-03-19
19,Glo,Compliant,Accept able act television wonder hundred at.,2022-05-02
79,Airtel,Non-Compliant,Goal training report need.,2022-05-06
33,Airtel,Non-Compliant,Indicate thousand black cut resource while.,2022-02-11
20,Airtel,Non-Compliant,General heart position animal adult eye.,2023-09-14
97,Glo,Compliant,Attorney various sister radio central.,2022-03-31
83,Glo,Compliant,Become authority us story game rock clear shake.,2023-03-13
80,Glo,Non-Compliant,After contain begin.,2022-05-14
22,Glo,Non-Compliant,Article from name game than.,2021-12-13
29,Etisalat,Compliant,Lot arrive be near all professional water.,2022-01-08
37,Etisalat,Compliant,Over yes develop.,2022-09-06
88,Glo,Compliant,Indicate create wife find.,2022-09-27
21,Airtel,Compliant,Will grow somebody commercial peace health fly.,2023-04-24
11,Etisalat,Compliant,Whole forget western four create cultural.,2023-07-23
89,MTN,Non-Compliant,Only run seek.,2022-07-06
70,Airtel,Non-Compliant,Card establish no significant product determine majority.,2023-06-10
26,MTN,Non-Compliant,Subject ability step budget.,2023-04-24
75,Glo,Compliant,Learn player leader mother because his.,2023-08-10
34,Glo,Non-Compliant,Just all card movement might trip.,2023-02-28
28,Glo,Non-Compliant,Remember young stand I body result beautiful move.,2022-12-26
83,Etisalat,Non-Compliant,Past matter professional simply election compare PM.,2023-03-21
96,Airtel,Compliant,Use message after receive eight appear central level.,2022-07-17
21,Airtel,Non-Compliant,Law specific design.,2022-01-21
